,open,high,low,close,volume,adj_volume,date,month,year
0,306.0,311.0,306.0,309.0,43605063.0,43670223.0,22-05-2026,05,2026
1,301.0,306.0,300.0,305.0,42823425.0,42965126.0,21-05-2026,05,2026
2,298.0,303.0,298.0,302.0,37276629.0,37307876.0,20-05-2026,05,2026
3,297.0,301.0,296.0,299.0,34842416.0,42243561.0,19-05-2026,05,2026
4,300.0,301.0,295.0,298.0,34313641.0,34482959.0,18-05-2026,05,2026
5,298.0,303.0,297.0,300.0,54675423.0,54862836.0,15-05-2026,05,2026
6,300.0,300.0,295.0,298.0,33673067.0,35324922.0,14-05-2026,05,2026
7,294.0,301.0,294.0,299.0,45313913.0,52684260.0,13-05-2026,05,2026
8,293.0,295.0,293.0,295.0,43943518.0,45748129.0,12-05-2026,05,2026
9,292.0,294.0,290.0,293.0,39366022.0,42247285.0,11-05-2026,05,2026
10,290.0,295.0,290.0,293.0,45708423.0,52692761.0,08-05-2026,05,2026
11,289.0,292.0,286.0,287.0,40410371.0,45224300.0,07-05-2026,05,2026
12,282.0,288.0,281.0,288.0,58322453.0,58336072.0,06-05-2026,05,2026
13,277.0,285.0,277.0,284.0,47037582.0,49311712.0,05-05-2026,05,2026
14,280.0,281.0,275.0,277.0,45414226.0,46668401.0,04-05-2026,05,2026
15,279.0,287.0,278.0,280.0,76013740.0,79915442.0,01-05-2026,05,2026
16,270.0,276.0,268.0,271.0,83815040.0,91848230.0,30-04-2026,04,2026
17,268.0,271.0,267.0,270.0,24117049.0,30047869.0,29-04-2026,04,2026
18,272.0,273.0,269.0,271.0,32820055.0,40018940.0,28-04-2026,04,2026
19,266.0,268.0,265.0,268.0,41213866.0,41466762.0,27-04-2026,04,2026
20,273.0,273.0,270.0,271.0,38033227.0,38157110.0,24-04-2026,04,2026
21,275.0,276.0,272.0,273.0,33138070.0,33399639.0,23-04-2026,04,2026
22,268.0,274.0,267.0,273.0,42729584.0,43249204.0,22-04-2026,04,2026
23,271.0,273.0,265.0,266.0,49363473.0,50209755.0,21-04-2026,04,2026
24,270.0,274.0,270.0,273.0,34667241.0,36590169.0,20-04-2026,04,2026
25,267.0,272.0,267.0,270.0,55211089.0,61436228.0,17-04-2026,04,2026
26,267.0,267.0,261.0,263.0,43105688.0,43323112.0,16-04-2026,04,2026
27,258.0,267.0,258.0,266.0,49686657.0,49913510.0,15-04-2026,04,2026
28,259.0,262.0,257.0,259.0,39378346.0,48370710.0,14-04-2026,04,2026
29,260.0,260.0,257.0,259.0,35080398.0,36234698.0,13-04-2026,04,2026
30,260.0,262.0,259.0,260.0,31259500.0,31291473.0,10-04-2026,04,2026
31,259.0,261.0,256.0,260.0,26229474.0,28121574.0,09-04-2026,04,2026
32,259.0,260.0,257.0,259.0,39655304.0,41032772.0,08-04-2026,04,2026
33,256.0,256.0,246.0,254.0,60820961.0,62148008.0,07-04-2026,04,2026
34,257.0,262.0,256.0,259.0,29319825.0,29329911.0,06-04-2026,04,2026
35,254.0,256.0,251.0,256.0,31289400.0,31289369.0,02-04-2026,04,2026
36,254.0,256.0,253.0,256.0,35595400.0,40059432.0,01-04-2026,04,2026
37,248.0,255.0,247.0,254.0,48770963.0,49598091.0,31-03-2026,03,2026
38,250.0,251.0,246.0,247.0,38248670.0,39446213.0,30-03-2026,03,2026
39,254.0,255.0,248.0,249.0,46525772.0,47899998.0,27-03-2026,03,2026
40,252.0,257.0,251.0,253.0,41331888.0,41796650.0,26-03-2026,03,2026
41,254.0,255.0,252.0,253.0,28436700.0,28476668.0,25-03-2026,03,2026
42,250.0,255.0,250.0,252.0,27882961.0,45152288.0,24-03-2026,03,2026
43,254.0,255.0,250.0,251.0,37465587.0,40546109.0,23-03-2026,03,2026
44,248.0,249.0,246.0,248.0,87981315.0,88331081.0,20-03-2026,03,2026
45,249.0,252.0,247.0,249.0,34568663.0,34864082.0,19-03-2026,03,2026
46,253.0,255.0,249.0,250.0,34652568.0,35757874.0,18-03-2026,03,2026
47,253.0,255.0,252.0,254.0,27556024.0,32361607.0,17-03-2026,03,2026
48,252.0,254.0,250.0,253.0,30091880.0,32074209.0,16-03-2026,03,2026
49,255.0,256.0,250.0,250.0,34193754.0,36929988.0,13-03-2026,03,2026
50,259.0,259.0,254.0,256.0,40132517.0,40794020.0,12-03-2026,03,2026
51,261.0,262.0,260.0,261.0,26131800.0,26218927.0,11-03-2026,03,2026
52,258.0,262.0,257.0,261.0,26403306.0,30590765.0,10-03-2026,03,2026
53,256.0,261.0,254.0,260.0,37958303.0,38218533.0,09-03-2026,03,2026
54,259.0,259.0,254.0,257.0,40628988.0,41120042.0,06-03-2026,03,2026
55,261.0,262.0,257.0,260.0,49424671.0,49658626.0,05-03-2026,03,2026
56,265.0,266.0,261.0,263.0,39258957.0,39803119.0,04-03-2026,03,2026
57,263.0,266.0,260.0,264.0,37994695.0,38568921.0,03-03-2026,03,2026
58,262.0,267.0,260.0,265.0,41576035.0,41827946.0,02-03-2026,03,2026
59,273.0,273.0,263.0,264.0,72239400.0,72366505.0,27-02-2026,02,2026
60,275.0,276.0,271.0,273.0,32123760.0,32345114.0,26-02-2026,02,2026
61,272.0,275.0,271.0,274.0,33627000.0,33714342.0,25-02-2026,02,2026
62,268.0,275.0,268.0,272.0,46710423.0,47014619.0,24-02-2026,02,2026
63,263.0,269.0,263.0,266.0,34926242.0,37308155.0,23-02-2026,02,2026
64,259.0,265.0,258.0,265.0,36884993.0,42070499.0,20-02-2026,02,2026
65,263.0,264.0,260.0,261.0,30716500.0,30845294.0,19-02-2026,02,2026
66,264.0,267.0,262.0,264.0,33598417.0,34203337.0,18-02-2026,02,2026
67,258.0,266.0,256.0,264.0,58081661.0,58469094.0,17-02-2026,02,2026
68,262.0,262.0,255.0,256.0,56229900.0,56290673.0,13-02-2026,02,2026
69,276.0,276.0,260.0,262.0,71430852.0,81077229.0,12-02-2026,02,2026
70,275.0,280.0,274.0,276.0,51915838.0,51931283.0,11-02-2026,02,2026
71,275.0,275.0,273.0,274.0,34311675.0,34376898.0,10-02-2026,02,2026
72,278.0,278.0,272.0,275.0,44562300.0,44623396.0,09-02-2026,02,2026
73,277.0,281.0,277.0,278.0,50050812.0,50453414.0,06-02-2026,02,2026
74,278.0,280.0,273.0,276.0,52178159.0,52977441.0,05-02-2026,02,2026
75,272.0,279.0,272.0,276.0,90458500.0,90545710.0,04-02-2026,02,2026
76,269.0,272.0,268.0,269.0,63714867.0,63799388.0,03-02-2026,02,2026
77,260.0,270.0,259.0,270.0,72890096.0,73913425.0,02-02-2026,02,2026
78,255.0,262.0,252.0,259.0,79605051.0,92443408.0,30-01-2026,01,2026
79,258.0,260.0,254.0,258.0,55636341.0,67253009.0,29-01-2026,01,2026
80,258.0,259.0,255.0,256.0,33041915.0,41287971.0,28-01-2026,01,2026
81,259.0,262.0,258.0,258.0,42113358.0,48787855.0,27-01-2026,01,2026
82,251.0,257.0,250.0,255.0,55448748.0,55969234.0,26-01-2026,01,2026
83,247.0,249.0,245.0,248.0,40981809.0,41688982.0,23-01-2026,01,2026
84,249.0,251.0,248.0,248.0,36743336.0,39708340.0,22-01-2026,01,2026
85,249.0,252.0,245.0,248.0,54151253.0,54641725.0,21-01-2026,01,2026
86,253.0,255.0,243.0,247.0,77475520.0,77280987.0,20-01-2026,01,2026
87,258.0,259.0,255.0,256.0,72018600.0,72142773.0,16-01-2026,01,2026
88,259.0,261.0,257.0,258.0,34022938.0,39388564.0,15-01-2026,01,2026
89,259.0,262.0,257.0,260.0,39954522.0,40019421.0,14-01-2026,01,2026
90,259.0,262.0,258.0,261.0,41482227.0,45730847.0,13-01-2026,01,2026
91,259.0,261.0,257.0,260.0,45056584.0,45263767.0,12-01-2026,01,2026
92,259.0,260.0,256.0,259.0,39911019.0,39996967.0,09-01-2026,01,2026
