open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,month,year
301.0,306.0,300.0,305.0,42823425.0,306.0,300.0,305.0,301.0,42965126.0,1.0,0.0,AAPL,XNAS,21-05-2026,05,2026
298.0,303.0,298.0,302.0,37276629.0,303.0,298.0,302.0,298.0,37307876.0,1.0,0.0,AAPL,XNAS,20-05-2026,05,2026
297.0,301.0,296.0,299.0,34842416.0,301.0,296.0,299.0,297.0,42243561.0,1.0,0.0,AAPL,XNAS,19-05-2026,05,2026
300.0,301.0,295.0,298.0,34313641.0,301.0,295.0,298.0,300.0,34482959.0,1.0,0.0,AAPL,XNAS,18-05-2026,05,2026
298.0,303.0,297.0,300.0,54675423.0,303.0,297.0,300.0,298.0,54862836.0,1.0,0.0,AAPL,XNAS,15-05-2026,05,2026
300.0,300.0,295.0,298.0,33673067.0,300.0,295.0,298.0,300.0,35324922.0,1.0,0.0,AAPL,XNAS,14-05-2026,05,2026
294.0,301.0,294.0,299.0,45313913.0,301.0,294.0,299.0,294.0,52684260.0,1.0,0.0,AAPL,XNAS,13-05-2026,05,2026
293.0,295.0,293.0,295.0,43943518.0,295.0,293.0,295.0,293.0,45748129.0,1.0,0.0,AAPL,XNAS,12-05-2026,05,2026
292.0,294.0,290.0,293.0,39366022.0,294.0,290.0,293.0,292.0,42247285.0,1.0,0.27,AAPL,XNAS,11-05-2026,05,2026
290.0,295.0,290.0,293.0,45708423.0,295.0,290.0,293.0,290.0,52692761.0,1.0,0.0,AAPL,XNAS,08-05-2026,05,2026
289.0,292.0,286.0,287.0,40410371.0,292.0,286.0,287.0,289.0,45224300.0,1.0,0.0,AAPL,XNAS,07-05-2026,05,2026
282.0,288.0,281.0,288.0,58322453.0,288.0,281.0,288.0,282.0,58336072.0,1.0,0.0,AAPL,XNAS,06-05-2026,05,2026
277.0,285.0,277.0,284.0,47037582.0,285.0,277.0,284.0,277.0,49311712.0,1.0,0.0,AAPL,XNAS,05-05-2026,05,2026
280.0,281.0,275.0,277.0,45414226.0,281.0,275.0,277.0,280.0,46668401.0,1.0,0.0,AAPL,XNAS,04-05-2026,05,2026
279.0,287.0,278.0,280.0,76013740.0,287.0,278.0,280.0,279.0,79915442.0,1.0,0.0,AAPL,XNAS,01-05-2026,05,2026
270.0,276.0,268.0,271.0,83815040.0,276.0,268.0,271.0,270.0,91848230.0,1.0,0.0,AAPL,XNAS,30-04-2026,04,2026
268.0,271.0,267.0,270.0,24117049.0,271.0,267.0,270.0,268.0,30047869.0,1.0,0.0,AAPL,XNAS,29-04-2026,04,2026
272.0,273.0,269.0,271.0,32820055.0,273.0,269.0,271.0,272.0,40018940.0,1.0,0.0,AAPL,XNAS,28-04-2026,04,2026
